Server Count,Client Count,Trade Volume,Query Name,Query Duration(s),Record Count,Query Statement,Sitesperhost,Kfactor,Temtablesize,Date
3,1,250000,SumPositionByAccountAndProduct,0.01,1,SELECT sum(position_delta) from trades where product_cusip = ? and account_id = ?,6,0,2048,2014-01-28 04:31:31
3,1,250000,SumPositionByAccountAndProduct,0.014,1,SELECT sum(position_delta) from trades where product_cusip = ? and account_id = ?,6,0,2048,2014-01-28 04:33:55
3,1,250000,SumPositionByAccountAndProduct,0.011,1,SELECT sum(position_delta) from trades where product_cusip = ? and account_id = ?,6,0,2048,2014-01-28 04:36:33
3,1,25000000,SumPositionByAccountAndProduct,0.012,1,SELECT sum(position_delta) from trades where product_cusip = ? and account_id = ?,6,0,2048,2014-01-28 04:43:34
3,1,25000000,SumPositionByAccountAndProduct,0.013,1,SELECT sum(position_delta) from trades where product_cusip = ? and account_id = ?,6,0,2048,2014-01-28 04:55:28
3,1,25000000,SumPositionByAccountAndProduct,0.012,1,SELECT sum(position_delta) from trades where product_cusip = ? and account_id = ?,6,0,2048,2014-01-28 05:11:06
3,1,25000000,SumPositionByAccountAndProduct,0.012,1,SELECT sum(position_delta) from trades where product_cusip = ? and account_id = ?,6,0,2048,2014-01-29 09:48:28
3,1,25000000,SumPositionByAccountAndProduct,0.012,1,SELECT sum(position_delta) from trades where product_cusip = ? and account_id = ?,6,0,2048,2014-01-29 10:01:12
